Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
57891,Battle Royale,Koushun Takami,"Takami, Koushun",Yuji Oniki,"=""156931778X""","=""9781569317785""",4,4.16,"VIZ, LLC",Paperback,617,2003,1999,2020/02/19,2020/02/22,"2020, tradeback","2020 (#6), tradeback (#13)",read,"I wasn’t sure I’d like it and was somewhat put off by the thickness of the book, but I wound up devouring it in a day. The sheer number of characters you meet in the initial setup was also intimidating, but most of them are killed off before you really need to know who they are.",,,1,,,0,,,,,
44132735,The Batman Who Laughs,Scott Snyder,"Snyder, Scott","James Tynion IV, Jock, Eduardo Risso, David Baron","=""1401294030""","=""9781401294038""",0,3.65,DC Comics,Hardcover,232,2019,2019,,2019/09/14,"ebook, hoopla, spl","ebook (#111), hoopla (#15), spl (#49)",read,,,,1,,,0,,,,,
12392681,Railsea,China Miéville,"Miéville, China",,"=""0345524527""","=""9780345524522""",3,3.89,Del Rey,Hardcover,424,2012,2012,,2020/02/11,"2020, hardcover, spl, ya-sjw-book-club","2020 (#5), hardcover (#37), spl (#60), ya-sjw-book-club (#21)",read,"A fun read, with a lot of character to the world. Blitzed through it pretty quickly, and although it left me very curious about the history of the world, it's surely better left to the imagination than over-explained.",,,1,,,0,,,,,
49969657,Nature (Logic #9),Ben Tarnoff,"Tarnoff, Ben","Moira Weigel, Alex Blasdel, Jen Kagan","=""""","=""9780998662695""",4,4.77,Logic Foundation,Paperback,238,2019,,,2020/02/11,"2020, own, tradeback","2020 (#4), own (#71), tradeback (#12)",read,"As always, Logic is thought-provoking collection of work that's well worth reading. Let me know if you want to borrow it!",,,1,,,1,,,unspecified,,
50803630,Once & Future #2,Kieron Gillen,"Gillen, Kieron","Dan Mora, Tamra Bonvillain","=""""","=""""",0,4.42,BOOM! Studios,Kindle Edition,27,2019,2019,,2020/01/06,"ebook, hoopla, spl","ebook (#116), hoopla (#20), spl (#55)",read,,,,1,,,0,,,,,
43352954,This Is How You Lose the Time War,Amal El-Mohtar,"El-Mohtar, Amal",Max Gladstone,"=""""","=""""",4,3.96,Saga Press,Kindle Edition,209,2019,2019,,2019/07/29,"2019, hardcover, spl","2019 (#4), hardcover (#34), spl (#36)",read,"4.5/5 - A beautiful read. Only partly my usual fare, in that it’s nominally SFF, and I don’t usually read for language and words, but I loved it! Nice and short, would highly recommend if you’re into either of the above.",,,1,,,0,,,,,
20329103,The Mysterious Howling (The Incorrigible Children of Ashton Place #1),Maryrose Wood,"Wood, Maryrose",Jon Klassen,"=""""","=""""",3,3.89,Harper Collins ,Kindle Edition,276,2010,2009,2020/01/16,2020/01/14,"2020, kindle, own, ya-sjw-book-club","2020 (#3), kindle (#88), own (#70), ya-sjw-book-club (#20)",read,"The writing was delightful and the overall story a lot of fun. I wish I had realized it was more J than YA when I was reading it, as I think my expectations would've been better set. I don't love that we hit the end of the book (with the requisite cliffhanger) right as we got to the meat of the story, though. Really felt more like the first few chapters of a longer story rather than a full book by itself.",,,1,,,0,,,,,
42769202,"Starsight (Skyward, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""1473217903""","=""9781473217904""",3,4.44,Orion Publishing Co,Paperback,461,2019,2019,,2020/01/07,"2020, hardcover, spl","2020 (#2), hardcover (#36), spl (#59)",read,"3.5/5 - A solid sequel to Skyward. Sanderson's plucky hero(in)es are getting a little stale for me, but I'm as into the plotting and morality as much as I always have and still read the book in a night, so enjoyed it a lot anyway.",,,2,,,0,,,,,
48644627,Once & Future #5,Kieron Gillen,"Gillen, Kieron","Dan Mora, Tamra Bonvillain","=""""","=""""",0,4.31,BOOM! Studios,Kindle Edition,28,2019,2019,,2020/01/06,"ebook, hoopla, spl","ebook (#119), hoopla (#23), spl (#58)",read,,,,1,,,0,,,,,
48644626,Once & Future #4,Kieron Gillen,"Gillen, Kieron","Dan Mora, Tamra Bonvillain","=""""","=""""",0,4.28,BOOM! Studios,Kindle Edition,30,2019,2019,,2020/01/06,"ebook, spl, hoopla","ebook (#118), spl (#57), hoopla (#22)",read,,,,1,,,0,,,,,
